keyword	pride_group	blast_species	pr_count
stringent	Organism part,cell line	nonMammal_Metazoa	11
stringent	Organism part,cell line	nonPrimates_mammals	127
stringent	Organism part,cell line	otherSum	6
stringent	cancer	Bacteria	30
stringent	cancer	Homo_sapiens	427
stringent	cancer	nonHuman_Primates	285
stringent	cancer	nonMammal_Metazoa	14
stringent	cancer	nonPrimates_mammals	90
stringent	cancer	otherSum	5
stringent	cancer,cell line	Bacteria	9
stringent	cancer,cell line	Homo_sapiens	211
stringent	cancer,cell line	nonHuman_Primates	172
stringent	cancer,cell line	nonMammal_Metazoa	13
stringent	cancer,cell line	nonPrimates_mammals	77
stringent	cancer,cell line	otherSum	1
stringent	cell line	Bacteria	43
stringent	cell line	Homo_sapiens	1013
stringent	cell line	nonHuman_Primates	780
stringent	cell line	nonMammal_Metazoa	37
stringent	cell line	nonPrimates_mammals	298
stringent	cell line	otherSum	13
stringent|pepquery	Organism part	Bacteria	26
stringent|pepquery	Organism part	Homo_sapiens	916
stringent|pepquery	Organism part	nonHuman_Primates	549
stringent|pepquery	Organism part	nonMammal_Metazoa	21
stringent|pepquery	Organism part	nonPrimates_mammals	203
stringent|pepquery	Organism part	otherSum	15
stringent|pepquery	Organism part,cancer	Bacteria	2
stringent|pepquery	Organism part,cancer	Homo_sapiens	203
stringent|pepquery	Organism part,cancer	nonHuman_Primates	122
stringent|pepquery	Organism part,cancer	nonMammal_Metazoa	4
stringent|pepquery	Organism part,cancer	nonPrimates_mammals	41
stringent|pepquery	Organism part,cancer	otherSum	6
stringent|pepquery	Organism part,cancer,cell line	Bacteria	11
stringent|pepquery	Organism part,cancer,cell line	Homo_sapiens	853
stringent|pepquery	Organism part,cancer,cell line	nonHuman_Primates	754
stringent|pepquery	Organism part,cancer,cell line	nonMammal_Metazoa	42
stringent|pepquery	Organism part,cancer,cell line	nonPrimates_mammals	331
stringent|pepquery	Organism part,cancer,cell line	otherSum	15
stringent|pepquery	Organism part,cell line	Bacteria	4
stringent|pepquery	Organism part,cell line	Homo_sapiens	364
stringent|pepquery	Organism part,cell line	nonHuman_Primates	242
stringent|pepquery	Organism part,cell line	nonMammal_Metazoa	9
stringent|pepquery	Organism part,cell line	nonPrimates_mammals	118
stringent|pepquery	Organism part,cell line	otherSum	6
stringent|pepquery	cancer	Bacteria	17
stringent|pepquery	cancer	Homo_sapiens	337
stringent|pepquery	cancer	nonHuman_Primates	222
stringent|pepquery	cancer	nonMammal_Metazoa	11
stringent|pepquery	cancer	nonPrimates_mammals	64
stringent|pepquery	cancer	otherSum	4
stringent|pepquery	cancer,cell line	Bacteria	8
stringent|pepquery	cancer,cell line	Homo_sapiens	204
stringent|pepquery	cancer,cell line	nonHuman_Primates	159
stringent|pepquery	cancer,cell line	nonMammal_Metazoa	12
stringent|pepquery	cancer,cell line	nonPrimates_mammals	74
stringent|pepquery	cancer,cell line	otherSum	1
stringent|pepquery	cell line	Bacteria	23
stringent|pepquery	cell line	Homo_sapiens	851
stringent|pepquery	cell line	nonHuman_Primates	616
stringent|pepquery	cell line	nonMammal_Metazoa	27
stringent|pepquery	cell line	nonPrimates_mammals	231
stringent|pepquery	cell line	otherSum	8
