keyword	blast_species	gencode_loc	pr_count
stringent	nonHuman_Primates	All_transcript_noncoding	96
stringent	nonHuman_Primates	other	307
stringent	nonMammal_Metazoa	All_CDS	5
stringent	nonMammal_Metazoa	All_UTR	3
stringent	nonMammal_Metazoa	All_exon_coding	14
stringent	nonMammal_Metazoa	All_exon_noncoding	62
stringent	nonMammal_Metazoa	All_intergene	6
stringent	nonMammal_Metazoa	All_intron	8
stringent	nonMammal_Metazoa	All_transcript	1
stringent	nonMammal_Metazoa	All_transcript_coding	47
stringent	nonMammal_Metazoa	All_transcript_noncoding	5
stringent	nonMammal_Metazoa	other	5
stringent	nonPrimates_mammals	All_CDS	35
stringent	nonPrimates_mammals	All_UTR	11
stringent	nonPrimates_mammals	All_exon_coding	225
stringent	nonPrimates_mammals	All_exon_noncoding	264
stringent	nonPrimates_mammals	All_intergene	26
stringent	nonPrimates_mammals	All_intron	42
stringent	nonPrimates_mammals	All_transcript	7
stringent	nonPrimates_mammals	All_transcript_coding	497
stringent	nonPrimates_mammals	All_transcript_noncoding	35
stringent	nonPrimates_mammals	other	105
stringent	otherSum	All_CDS	2
stringent	otherSum	All_UTR	3
stringent	otherSum	All_exon_coding	11
stringent	otherSum	All_exon_noncoding	9
stringent	otherSum	All_intergene	5
stringent	otherSum	All_intron	10
stringent	otherSum	All_transcript	1
stringent	otherSum	All_transcript_coding	18
stringent	otherSum	All_transcript_noncoding	2
stringent	otherSum	other	5
stringent|pepquery	Bacteria	All_CDS	0
stringent|pepquery	Bacteria	All_UTR	2
stringent|pepquery	Bacteria	All_exon_coding	0
stringent|pepquery	Bacteria	All_exon_noncoding	4
stringent|pepquery	Bacteria	All_intergene	24
stringent|pepquery	Bacteria	All_intron	56
stringent|pepquery	Bacteria	All_transcript	0
stringent|pepquery	Bacteria	All_transcript_coding	3
stringent|pepquery	Bacteria	All_transcript_noncoding	2
stringent|pepquery	Bacteria	other	0
stringent|pepquery	Homo_sapiens	All_CDS	180
stringent|pepquery	Homo_sapiens	All_UTR	15
stringent|pepquery	Homo_sapiens	All_exon_coding	1116
stringent|pepquery	Homo_sapiens	All_exon_noncoding	247
stringent|pepquery	Homo_sapiens	All_intergene	20
stringent|pepquery	Homo_sapiens	All_intron	33
stringent|pepquery	Homo_sapiens	All_transcript	40
stringent|pepquery	Homo_sapiens	All_transcript_coding	1837
stringent|pepquery	Homo_sapiens	All_transcript_noncoding	49
stringent|pepquery	Homo_sapiens	other	191
stringent|pepquery	nonHuman_Primates	All_CDS	53
stringent|pepquery	nonHuman_Primates	All_UTR	18
stringent|pepquery	nonHuman_Primates	All_exon_coding	447
stringent|pepquery	nonHuman_Primates	All_exon_noncoding	561
stringent|pepquery	nonHuman_Primates	All_intergene	46
stringent|pepquery	nonHuman_Primates	All_intron	100
stringent|pepquery	nonHuman_Primates	All_transcript	25
stringent|pepquery	nonHuman_Primates	All_transcript_coding	1067
stringent|pepquery	nonHuman_Primates	All_transcript_noncoding	86
stringent|pepquery	nonHuman_Primates	other	261
stringent|pepquery	nonMammal_Metazoa	All_CDS	5
stringent|pepquery	nonMammal_Metazoa	All_UTR	2
stringent|pepquery	nonMammal_Metazoa	All_exon_coding	12
stringent|pepquery	nonMammal_Metazoa	All_exon_noncoding	53
stringent|pepquery	nonMammal_Metazoa	All_intergene	1
stringent|pepquery	nonMammal_Metazoa	All_intron	4
stringent|pepquery	nonMammal_Metazoa	All_transcript	1
stringent|pepquery	nonMammal_Metazoa	All_transcript_coding	39
stringent|pepquery	nonMammal_Metazoa	All_transcript_noncoding	5
stringent|pepquery	nonMammal_Metazoa	other	4
stringent|pepquery	nonPrimates_mammals	All_CDS	30
stringent|pepquery	nonPrimates_mammals	All_UTR	10
stringent|pepquery	nonPrimates_mammals	All_exon_coding	199
stringent|pepquery	nonPrimates_mammals	All_exon_noncoding	228
stringent|pepquery	nonPrimates_mammals	All_intergene	18
stringent|pepquery	nonPrimates_mammals	All_intron	28
stringent|pepquery	nonPrimates_mammals	All_transcript	7
stringent|pepquery	nonPrimates_mammals	All_transcript_coding	421
stringent|pepquery	nonPrimates_mammals	All_transcript_noncoding	31
stringent|pepquery	nonPrimates_mammals	other	90
stringent|pepquery	otherSum	All_CDS	1
stringent|pepquery	otherSum	All_UTR	2
stringent|pepquery	otherSum	All_exon_coding	10
stringent|pepquery	otherSum	All_exon_noncoding	9
stringent|pepquery	otherSum	All_intergene	3
stringent|pepquery	otherSum	All_intron	7
stringent|pepquery	otherSum	All_transcript	1
stringent|pepquery	otherSum	All_transcript_coding	17
stringent|pepquery	otherSum	All_transcript_noncoding	1
stringent|pepquery	otherSum	other	4
